# Simulation for trace KTH-SP2 started Sun Aug 02 22:54:23 CDT 2020
# [Machine] 
# 275max ports
# [Scheduler] 
# Priority Queue Scheduler
# Comparator: FIFOComparator
# [Allocator] 
Pollard Allocator for Fat Tree

# Job 	Arrival	Start	End	Run	Wait	Resp.	Procs	S-FST	R-FST
0	0	0	97225	97225	0	97225	56	0	0
2	327998	327998	328175	177	0	177	84	0	0
3	333654	333654	333794	140	0	140	80	0	0
1	327952	327952	337334	9382	0	9382	80	0	0
5	534471	534471	539321	4850	0	4850	5	0	0
4	508960	508960	553115	44155	0	44155	16	0	0
6	555144	555144	572026	16882	0	16882	16	0	0
7	555281	555281	580518	25237	0	25237	16	0	0
10	588361	588361	588373	12	0	12	10	0	0
13	593394	593394	593410	16	0	16	2	0	0
12	590254	590254	593827	3573	0	3573	16	0	0
9	587112	587112	600309	13197	0	13197	9	0	0
8	587036	587036	600750	13714	0	13714	9	0	0
15	600022	600022	602510	2488	0	2488	25	0	0
14	599850	599850	603327	3477	0	3477	4	0	0
18	603930	603930	603959	29	0	29	8	0	0
20	605397	605397	605410	13	0	13	1	0	0
19	605396	605396	605412	16	0	16	1	0	0
21	605398	605398	605412	14	0	14	1	0	0
22	605440	605440	605463	23	0	23	2	0	0
23	607341	607341	607365	24	0	24	4	0	0
24	607569	607569	607573	4	0	4	1	0	0
25	607783	607783	607805	22	0	22	1	0	0
26	607961	607961	608001	40	0	40	1	0	0
27	608075	608075	608098	23	0	23	6	0	0
28	608164	608164	608186	22	0	22	8	0	0
29	608335	608335	608356	21	0	21	9	0	0
30	608362	608362	608382	20	0	20	10	0	0
32	608429	608429	608449	20	0	20	12	0	0
34	608505	608505	608518	13	0	13	1	0	0
33	608504	608504	608528	24	0	24	16	0	0
35	608650	608650	608674	24	0	24	25	0	0
36	608700	608700	608715	15	0	15	36	0	0
37	608745	608745	608802	57	0	57	1	0	0
39	608987	608987	609044	57	0	57	1	0	0
11	588864	588864	609217	20353	0	20353	5	0	0
31	608387	608387	609461	1074	0	1074	1	0	0
40	609909	609909	609927	18	0	18	1	0	0
41	610010	610010	610025	15	0	15	1	0	0
43	610203	610203	610219	16	0	16	4	0	0
44	610738	610738	610794	56	0	56	1	0	0
45	611155	611155	611212	57	0	57	1	0	0
47	611576	611576	611590	14	0	14	2	0	0
46	611448	611448	611601	153	0	153	1	0	0
42	610068	610068	612181	2113	0	2113	1	0	0
48	612422	612422	612439	17	0	17	1	0	0
49	613225	613225	613248	23	0	23	1	0	0
50	613390	613390	613469	79	0	79	1	0	0
51	613940	613940	613956	16	0	16	1	0	0
53	614132	614132	614136	4	0	4	16	0	0
54	614225	614225	614239	14	0	14	1	0	0
55	614280	614280	614296	16	0	16	2	0	0
56	614346	614346	614360	14	0	14	4	0	0
57	614358	614358	614372	14	0	14	8	0	0
58	614378	614378	614393	15	0	15	12	0	0
59	614451	614451	614469	18	0	18	16	0	0
60	614487	614487	614502	15	0	15	1	0	0
61	614487	614487	614502	15	0	15	4	0	0
63	614516	614516	614520	4	0	4	9	0	0
62	614502	614502	614523	21	0	21	24	0	0
66	614539	614539	614546	7	0	7	25	0	0
65	614535	614535	614556	21	0	21	16	0	0
67	614555	614555	614582	27	0	27	36	0	0
68	614565	614565	614594	29	0	29	49	0	0
69	614575	614575	614603	28	0	28	64	0	0
64	614523	614523	614604	81	0	81	32	0	0
70	614608	614608	614631	23	0	23	46	0	0
71	614648	614648	614679	31	0	31	2	0	0
52	614059	614059	614698	639	0	639	1	0	0
72	614779	614779	614811	32	0	32	2	0	0
74	614950	614950	614983	33	0	33	4	0	0
75	615102	615102	615120	18	0	18	4	0	0
76	615392	615392	615408	16	0	16	8	0	0
77	615393	615393	615416	23	0	23	6	0	0
79	615463	615463	615468	5	0	5	10	0	0
78	615459	615459	615479	20	0	20	9	0	0
73	614898	614898	615489	591	0	591	1	0	0
80	615591	615591	615611	20	0	20	12	0	0
81	615628	615628	615650	22	0	22	16	0	0
83	615687	615687	615696	9	0	9	25	0	0
82	615682	615682	615705	23	0	23	36	0	0
84	615738	615738	615763	25	0	25	2	0	0
85	616584	616584	616596	12	0	12	1	0	0
86	616881	616881	616895	14	0	14	1	0	0
87	616911	616911	616926	15	0	15	2	0	0
88	616965	616965	616980	15	0	15	4	0	0
89	616969	616969	616984	15	0	15	8	0	0
90	617024	617024	617036	12	0	12	12	0	0
91	617057	617057	617071	14	0	14	16	0	0
93	617144	617144	617157	13	0	13	24	0	0
94	617386	617386	617412	26	0	26	4	0	0
95	617559	617559	617962	403	0	403	1	0	0
92	617129	617129	620715	3586	0	3586	16	0	0
97	627521	627521	627543	22	0	22	2	0	0
98	628506	628506	628934	428	0	428	1	0	0
99	630094	630094	630319	225	0	225	1	0	0
96	620412	620412	632899	12487	0	12487	9	0	0
17	600836	600836	636209	35373	0	35373	17	0	0
102	637128	637128	637627	499	0	499	1	0	0
103	637184	637184	637686	502	0	502	1	0	0
100	634491	634491	638068	3577	0	3577	30	0	0
104	639090	639090	639121	31	0	31	2	0	0
105	640060	640060	640062	2	0	2	2	0	0
106	640779	640779	640801	22	0	22	2	0	0
107	641386	641386	641397	11	0	11	4	0	0
101	634680	634680	652624	17944	0	17944	10	0	0
38	608903	608903	656720	47817	0	47817	8	0	0
108	659739	659739	661651	1912	0	1912	16	0	0
109	663637	663637	665631	1994	0	1994	16	0	0
110	671852	671852	674189	2337	0	2337	8	0	0
116	674937	674937	674963	26	0	26	16	0	0
119	675029	675029	675071	42	0	42	16	0	0
118	675026	675026	675077	51	0	51	4	0	0
120	675146	675146	675160	14	0	14	16	0	0
121	675155	675155	675165	10	0	10	25	0	0
122	675159	675159	675199	40	0	40	24	0	0
114	673896	673896	675207	1311	0	1311	1	0	0
123	675396	675396	675407	11	0	11	25	0	0
